"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"310M200US10140","Aberdeen, WA Micro Area","41315","4597",
"310M200US10180","Abilene, TX Metro Area","44149","2375",
"310M200US10300","Adrian, MI Micro Area","45938","2554",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","15323","813",
"310M200US10420","Akron, OH Metro Area","49984","1544",
"310M200US10460","Alamogordo, NM Micro Area","44102","3496",
"310M200US10500","Albany, GA Metro Area","34756","2891",
"310M200US10540","Albany, OR Metro Area","45130","3551",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","59626","1981",
"310M200US10700","Albertville, AL Micro Area","38116","3568",
"310M200US10740","Albuquerque, NM Metro Area","48355","2109",
"310M200US10780","Alexandria, LA Metro Area","39960","2952",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","56543","1424",
"310M200US11020","Altoona, PA Metro Area","42164","3453",
"310M200US11100","Amarillo, TX Metro Area","49207","3098",
"310M200US11180","Ames, IA Metro Area","50279","4756",
"310M200US11260","Anchorage, AK Metro Area","76831","2453",
"310M200US11460","Ann Arbor, MI Metro Area","59660","2846",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","36205","3402",
"310M200US11540","Appleton, WI Metro Area","58410","2064",
"310M200US11640","Arecibo, PR Metro Area","17833","1278",
"310M200US11700","Asheville, NC Metro Area","43916","1818",
"310M200US11780","Ashtabula, OH Micro Area","40839","2047",
"310M200US11980","Athens, TX Micro Area","38493","5099",
"310M200US12020","Athens-Clarke County, GA Metro Area","38227","1916",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","55733","675",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","52127","2250",
"310M200US12180","Auburn, NY Micro Area","50154","3887",
"310M200US12220","Auburn-Opelika, AL Metro Area","46068","4329",
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","44187","2383",
"310M200US12300","Augusta-Waterville, ME Micro Area","44724","3473",
"310M200US12420","Austin-Round Rock, TX Metro Area","61750","1225",
"310M200US12540","Bakersfield, CA Metro Area","46879","2311",
"310M200US12580","Baltimore-Columbia-Towson, MD Metro Area","68455","1082",
"310M200US12620","Bangor, ME Metro Area","43598","2656",
"310M200US12700","Barnstable Town, MA Metro Area","61026","2089",
"310M200US12940","Baton Rouge, LA Metro Area","51134","1057",
"310M200US12980","Battle Creek, MI Metro Area","44520","3406",
"310M200US13020","Bay City, MI Metro Area","41281","4157",
"310M200US13140","Beaumont-Port Arthur, TX Metro Area","45019","2120",
"310M200US13180","Beaver Dam, WI Micro Area","51151","1838",
"310M200US13220","Beckley, WV Metro Area","36781","3752",
"310M200US13380","Bellingham, WA Metro Area","50186","4300",
"310M200US13460","Bend-Redmond, OR Metro Area","46791","5216",
"310M200US13740","Billings, MT Metro Area","52583","3403",
"310M200US13780","Binghamton, NY Metro Area","46836","2298",
"310M200US13820","Birmingham-Hoover, AL Metro Area","48328","1398",
"310M200US13900","Bismarck, ND Metro Area","64626","4316",
"310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","42242","2434",
"310M200US14010","Bloomington, IL Metro Area","61401","2173",
"310M200US14020","Bloomington, IN Metro Area","42085","2437",
"310M200US14100","Bloomsburg-Berwick, PA Metro Area","48007","2405",
"310M200US14140","Bluefield, WV-VA Micro Area","36047","3061",
"310M200US14260","Boise City, ID Metro Area","49583","1650",
"310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area","72907","989",
"310M200US14500","Boulder, CO Metro Area","71604","2063",
"310M200US14540","Bowling Green, KY Metro Area","46586","3549",
"310M200US14580","Bozeman, MT Micro Area","58809","4130",
"310M200US14660","Brainerd, MN Micro Area","49897","2575",
"310M200US14700","Branson, MO Micro Area","35444","3096",
"310M200US14740","Bremerton-Silverdale, WA Metro Area","62672","2671",
"310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","82084","2165",
"310M200US15180","Brownsville-Harlingen, TX Metro Area","34374","1851",
"310M200US15260","Brunswick, GA Metro Area","39967","3919",
"310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","50548","1171",
"310M200US15500","Burlington, NC Metro Area","42512","2279",
"310M200US15540","Burlington-South Burlington, VT Metro Area","62022","4012",
"310M200US15680","California-Lexington Park, MD Metro Area","78233","6783",
"310M200US15940","Canton-Massillon, OH Metro Area","45168","1696",
"310M200US15980","Cape Coral-Fort Myers, FL Metro Area","46383","1342",
"310M200US16020","Cape Girardeau, MO-IL Metro Area","41491","2501",
"310M200US16060","Carbondale-Marion, IL Metro Area","38903","3605",
"310M200US16180","Carson City, NV Metro Area","46616","4252",
"310M200US16220","Casper, WY Metro Area","58635","6185",
"310M200US16300","Cedar Rapids, IA Metro Area","56397","1702",
"310M200US16500","Centralia, WA Micro Area","40601","2373",
"310M200US16540","Chambersburg-Waynesboro, PA Metro Area","54303","2616",
"310M200US16580","Champaign-Urbana, IL Metro Area","47258","2478",
"310M200US16620","Charleston, WV Metro Area","45251","2223",
"310M200US16660","Charleston-Mattoon, IL Micro Area","37756","3939",
"310M200US16700","Charleston-North Charleston, SC Metro Area","51771","1562",
"310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","51251","724",
"310M200US16820","Charlottesville, VA Metro Area","58375","3457",
"310M200US16860","Chattanooga, TN-GA Metro Area","47702","2497",
"310M200US16940","Cheyenne, WY Metro Area","61661","3836",
"310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","60564","467",
"310M200US17020","Chico, CA Metro Area","42752","2438",
"310M200US17060","Chillicothe, OH Micro Area","40493","4430",
"310M200US17140","Cincinnati, OH-KY-IN Metro Area","53378","1248",
"310M200US17200","Claremont-Lebanon, NH-VT Micro Area","54432","2989",
"310M200US17220","Clarksburg, WV Micro Area","41153","2776",
"310M200US17300","Clarksville, TN-KY Metro Area","48938","2832",
"310M200US17340","Clearlake, CA Micro Area","37079","12116",
"310M200US17420","Cleveland, TN Metro Area","42107","2583",
"310M200US17460","Cleveland-Elyria, OH Metro Area","49358","1107",
"310M200US17660","Coeur d'Alene, ID Metro Area","54919","4995",
"310M200US17780","College Station-Bryan, TX Metro Area","39657","2952",
"310M200US17820","Colorado Springs, CO Metro Area","57484","2520",
"310M200US17860","Columbia, MO Metro Area","48953","3513",
"310M200US17900","Columbia, SC Metro Area","48672","1729",
"310M200US17980","Columbus, GA-AL Metro Area","40388","1829",
"310M200US18020","Columbus, IN Metro Area","52505","7233",
"310M200US18140","Columbus, OH Metro Area","54079","1130",
"310M200US18180","Concord, NH Micro Area","65662","4441",
"310M200US18260","Cookeville, TN Micro Area","32438","3089",
"310M200US18300","Coos Bay, OR Micro Area","37522","3555",
"310M200US18500","Corning, NY Micro Area","47046","3175",
"310M200US18580","Corpus Christi, TX Metro Area","48688","2435",
"310M200US18700","Corvallis, OR Metro Area","47808","4436",
"310M200US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","53000","2287",
"310M200US18980","Cullman, AL Micro Area","39936","3154",
"310M200US19060","Cumberland, MD-WV Metro Area","35211","3468",
"310M200US19100","Dallas-Fort Worth-Arlington, TX Metro Area","57398","644",
"310M200US19140","Dalton, GA Metro Area","37659","3363",
"310M200US19180","Danville, IL Metro Area","45089","2847",
"310M200US19260","Danville, VA Micro Area","35266","3417",
"310M200US19300","Daphne-Fairhope-Foley, AL Metro Area","44874","4150",
"310M200US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","51288","2018",
"310M200US19380","Dayton, OH Metro Area","47063","1384",
"310M200US19460","Decatur, AL Metro Area","42598","3211",
"310M200US19500","Decatur, IL Metro Area","45957","2504",
"310M200US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","41554","1037",
"310M200US19740","Denver-Aurora-Lakewood, CO Metro Area","62760","1037",
"310M200US19780","Des Moines-West Des Moines, IA Metro Area","61194","1520",
"310M200US19820","Detroit-Warren-Dearborn, MI Metro Area","51857","582",
"310M200US20020","Dothan, AL Metro Area","40186","2375",
"310M200US20100","Dover, DE Metro Area","54794","2991",
"310M200US20180","DuBois, PA Micro Area","39236","3627",
"310M200US20220","Dubuque, IA Metro Area","51735","2928",
"310M200US20260","Duluth, MN-WI Metro Area","46385","1486",
"310M200US20380","Dunn, NC Micro Area","45533","2927",
"310M200US20500","Durham-Chapel Hill, NC Metro Area","53492","1612",
"310M200US20700","East Stroudsburg, PA Metro Area","55536","3153",
"310M200US20740","Eau Claire, WI Metro Area","49046","2221",
"310M200US20940","El Centro, CA Metro Area","43310","4644",
"310M200US21020","Elizabeth City, NC Micro Area","44473","4425",
"310M200US21060","Elizabethtown-Fort Knox, KY Metro Area","46680","3514",
"310M200US21140","Elkhart-Goshen, IN Metro Area","45387","2212",
"310M200US21300","Elmira, NY Metro Area","45237","3751",
"310M200US21340","El Paso, TX Metro Area","39873","1479",
"310M200US21500","Erie, PA Metro Area","44292","2013",
"310M200US21660","Eugene, OR Metro Area","43459","2925",
"310M200US21700","Eureka-Arcata-Fortuna, CA Micro Area","42092","4572",
"310M200US21780","Evansville, IN-KY Metro Area","45332","2336",
"310M200US21820","Fairbanks, AK Metro Area","69113","4914",
"310M200US22020","Fargo, ND-MN Metro Area","51961","2756",
"310M200US22060","Faribault-Northfield, MN Micro Area","58584","4493",
"310M200US22100","Farmington, MO Micro Area","37349","2989",
"310M200US22140","Farmington, NM Metro Area","43787","3950",
"310M200US22180","Fayetteville, NC Metro Area","42968","2244",
"310M200US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","47905","2136",
"310M200US22300","Findlay, OH Micro Area","46382","3401",
"310M200US22380","Flagstaff, AZ Metro Area","50637","4486",
"310M200US22420","Flint, MI Metro Area","41249","1596",
"310M200US22500","Florence, SC Metro Area","38577","2957",
"310M200US22520","Florence-Muscle Shoals, AL Metro Area","42898","1700",
"310M200US22540","Fond du Lac, WI Metro Area","54198","3942",
"310M200US22580","Forest City, NC Micro Area","34993","2756",
"310M200US22660","Fort Collins, CO Metro Area","59052","2807",
"310M200US22900","Fort Smith, AR-OK Metro Area","37633","1858",
"310M200US23060","Fort Wayne, IN Metro Area","46005","1855",
"310M200US23180","Frankfort, KY Micro Area","44534","6051",
"310M200US23420","Fresno, CA Metro Area","43925","1374",
"310M200US23460","Gadsden, AL Metro Area","39459","4190",
"310M200US23540","Gainesville, FL Metro Area","38658","2641",
"310M200US23580","Gainesville, GA Metro Area","44998","3722",
"310M200US23700","Gallup, NM Micro Area","24945","3047",
"310M200US23900","Gettysburg, PA Metro Area","59029","3276",
"310M200US24020","Glens Falls, NY Metro Area","53562","3551",
"310M200US24060","Glenwood Springs, CO Micro Area","56652","6023",
"310M200US24140","Goldsboro, NC Metro Area","42193","3646",
"310M200US24220","Grand Forks, ND-MN Metro Area","50891","2781",
"310M200US24260","Grand Island, NE Metro Area","50567","1763",
"310M200US24300","Grand Junction, CO Metro Area","46723","4977",
"310M200US24340","Grand Rapids-Wyoming, MI Metro Area","52485","1020",
"310M200US24420","Grants Pass, OR Metro Area","38298","3368",
"310M200US24500","Great Falls, MT Metro Area","43947","3493",
"310M200US24540","Greeley, CO Metro Area","58611","2251",
"310M200US24580","Green Bay, WI Metro Area","51148","1913",
"310M200US24620","Greeneville, TN Micro Area","35981","1834",
"310M200US24640","Greenfield Town, MA Micro Area","52339","3176",
"310M200US24660","Greensboro-High Point, NC Metro Area","43791","1947",
"310M200US24780","Greenville, NC Metro Area","40639","2086",
"310M200US24860","Greenville-Anderson-Mauldin, SC Metro Area","44853","1775",
"310M200US24940","Greenwood, SC Micro Area","34006","3582",
"310M200US25020","Guayama, PR Metro Area","12365","1224",
"310M200US25060","Gulfport-Biloxi-Pascagoula, MS Metro Area","44951","2597",
"310M200US25180","Hagerstown-Martinsburg, MD-WV Metro Area","56424","2530",
"310M200US25220","Hammond, LA Metro Area","44166","6891",
"310M200US25260","Hanford-Corcoran, CA Metro Area","45774","3036",
"310M200US25420","Harrisburg-Carlisle, PA Metro Area","56484","1449",
"310M200US25500","Harrisonburg, VA Metro Area","46710","2212",
"310M200US25540","Hartford-West Hartford-East Hartford, CT Metro Area","66356","1554",
"310M200US25620","Hattiesburg, MS Metro Area","40364","4136",
"310M200US25740","Helena, MT Micro Area","55527","4746",
"310M200US25840","Hermiston-Pendleton, OR Micro Area","49690","3270",
"310M200US25860","Hickory-Lenoir-Morganton, NC Metro Area","38039","2493",
"310M200US25900","Hilo, HI Micro Area","48399","5565",
"310M200US25940","Hilton Head Island-Bluffton-Beaufort, SC Metro Area","52269","3622",
"310M200US25980","Hinesville, GA Metro Area","40559","1863",
"310M200US26020","Hobbs, NM Micro Area","56191","4628",
"310M200US26090","Holland, MI Micro Area","56077","3157",
"310M200US26140","Homosassa Springs, FL Metro Area","40015","3181",
"310M200US26300","Hot Springs, AR Metro Area","39589","3856",
"310M200US26380","Houma-Thibodaux, LA Metro Area","54070","5317",
"310M200US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","57366","726",
"310M200US26580","Huntington-Ashland, WV-KY-OH Metro Area","43543","1584",
"310M200US26620","Huntsville, AL Metro Area","55857","1967",
"310M200US26660","Huntsville, TX Micro Area","35456","6213",
"310M200US26740","Hutchinson, KS Micro Area","44077","2126",
"310M200US26820","Idaho Falls, ID Metro Area","50439","2267",
"310M200US26860","Indiana, PA Micro Area","45266","2585",
"310M200US26900","Indianapolis-Carmel-Anderson, IN Metro Area","51087","737",
"310M200US26980","Iowa City, IA Metro Area","52220","2715",
"310M200US27060","Ithaca, NY Metro Area","48516","5182",
"310M200US27100","Jackson, MI Metro Area","43668","3721",
"310M200US27140","Jackson, MS Metro Area","43611","1752",
"310M200US27180","Jackson, TN Metro Area","38663","2205",
"310M200US27260","Jacksonville, FL Metro Area","51495","930",
"310M200US27340","Jacksonville, NC Metro Area","44673","4089",
"310M200US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","40413","2140",
"310M200US27500","Janesville-Beloit, WI Metro Area","47118","4696",
"310M200US27620","Jefferson City, MO Metro Area","47586","3652",
"310M200US27740","Johnson City, TN Metro Area","37423","2599",
"310M200US27780","Johnstown, PA Metro Area","41423","2522",
"310M200US27860","Jonesboro, AR Metro Area","39552","2542",
"310M200US27900","Joplin, MO Metro Area","40852","1666",
"310M200US27980","Kahului-Wailuku-Lahaina, HI Metro Area","65541","4540",
"310M200US28020","Kalamazoo-Portage, MI Metro Area","45699","2018",
"310M200US28060","Kalispell, MT Micro Area","47802","3918",
"310M200US28100","Kankakee, IL Metro Area","49761","3843",
"310M200US28140","Kansas City, MO-KS Metro Area","56248","998",
"310M200US28180","Kapaa, HI Micro Area","60155","7082",
"310M200US28300","Keene, NH Micro Area","51945","3307",
"310M200US28420","Kennewick-Richland, WA Metro Area","58542","2631",
"310M200US28580","Key West, FL Micro Area","50838","3977",
"310M200US28660","Killeen-Temple, TX Metro Area","50447","1674",
"310M200US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","39128","1681",
"310M200US28740","Kingston, NY Metro Area","58429","3682",
"310M200US28900","Klamath Falls, OR Micro Area","36885","3491",
"310M200US28940","Knoxville, TN Metro Area","45051","1285",
"310M200US29020","Kokomo, IN Metro Area","44265","4320",
"310M200US29100","La Crosse-Onalaska, WI-MN Metro Area","51024","3374",
"310M200US29180","Lafayette, LA Metro Area","48105","2676",
"310M200US29200","Lafayette-West Lafayette, IN Metro Area","48372","2566",
"310M200US29300","LaGrange, GA Micro Area","43642","4759",
"310M200US29340","Lake Charles, LA Metro Area","43479","4355",
"310M200US29380","Lake City, FL Micro Area","45220","4578",
"310M200US29420","Lake Havasu City-Kingman, AZ Metro Area","39058","2478",
"310M200US29460","Lakeland-Winter Haven, FL Metro Area","42435","1473",
"310M200US29540","Lancaster, PA Metro Area","56922","1819",
"310M200US29620","Lansing-East Lansing, MI Metro Area","49383","1634",
"310M200US29700","Laredo, TX Metro Area","39991","2637",
"310M200US29740","Las Cruces, NM Metro Area","36343","3290",
"310M200US29820","Las Vegas-Henderson-Paradise, NV Metro Area","51057","747",
"310M200US29860","Laurel, MS Micro Area","34844","5507",
"310M200US29940","Lawrence, KS Metro Area","52150","4124",
"310M200US30020","Lawton, OK Metro Area","41813","3571",
"310M200US30140","Lebanon, PA Metro Area","55973","3091",
"310M200US30300","Lewiston, ID-WA Metro Area","45417","3909",
"310M200US30340","Lewiston-Auburn, ME Metro Area","44127","3784",
"310M200US30460","Lexington-Fayette, KY Metro Area","50279","1699",
"310M200US30620","Lima, OH Metro Area","43030","3327",
"310M200US30700","Lincoln, NE Metro Area","52300","2033",
"310M200US30780","Little Rock-North Little Rock-Conway, AR Metro Area","48304","1599",
"310M200US30860","Logan, UT-ID Metro Area","47377","3405",
"310M200US30940","London, KY Micro Area","32644","1950",
"310M200US30980","Longview, TX Metro Area","45175","3902",
"310M200US31020","Longview, WA Metro Area","48417","3560",
"310M200US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","58869","555",
"310M200US31140","Louisville/Jefferson County, KY-IN Metro Area","50905","839",
"310M200US31180","Lubbock, TX Metro Area","47172","2378",
"310M200US31260","Lufkin, TX Micro Area","42750","5249",
"310M200US31300","Lumberton, NC Micro Area","29542","1851",
"310M200US31340","Lynchburg, VA Metro Area","47821","2063",
"310M200US31420","Macon, GA Metro Area","39484","3589",
"310M200US31460","Madera, CA Metro Area","39758","3435",
"310M200US31540","Madison, WI Metro Area","59466","1431",
"310M200US31700","Manchester-Nashua, NH Metro Area","67574","3400",
"310M200US31740","Manhattan, KS Metro Area","46375","2164",
"310M200US31820","Manitowoc, WI Micro Area","47181","1759",
"310M200US31860","Mankato-North Mankato, MN Metro Area","53047","4042",
"310M200US31900","Mansfield, OH Metro Area","39455","2274",
"310M200US31940","Marinette, WI-MI Micro Area","39669","2700",
"310M200US31980","Marion, IN Micro Area","38665","3135",
"310M200US32020","Marion, OH Micro Area","41849","3405",
"310M200US32100","Marquette, MI Micro Area","45011","4111",
"310M200US32220","Marshall, TX Micro Area","39701","4302",
"310M200US32300","Martinsville, VA Micro Area","35907","2549",
"310M200US32420","Mayagüez, PR Metro Area","16095","1558",
"310M200US32580","McAllen-Edinburg-Mission, TX Metro Area","35098","1606",
"310M200US32740","Meadville, PA Micro Area","44575","2616",
"310M200US32780","Medford, OR Metro Area","43363","3149",
"310M200US32820","Memphis, TN-MS-AR Metro Area","46962","1230",
"310M200US32900","Merced, CA Metro Area","40687","2019",
"310M200US32940","Meridian, MS Micro Area","31713","2138",
"310M200US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","46946","602",
"310M200US33140","Michigan City-La Porte, IN Metro Area","46506","4073",
"310M200US33220","Midland, MI Metro Area","49913","4949",
"310M200US33260","Midland, TX Metro Area","71442","4896",
"310M200US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","51957","709",
"310M200US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","67194","790",
"310M200US33500","Minot, ND Micro Area","58136","5178",
"310M200US33540","Missoula, MT Metro Area","48077","4956",
"310M200US33660","Mobile, AL Metro Area","42944","2180",
"310M200US33700","Modesto, CA Metro Area","47962","2536",
"310M200US33740","Monroe, LA Metro Area","37536","4163",
"310M200US33780","Monroe, MI Metro Area","53561","5225",
"310M200US33860","Montgomery, AL Metro Area","45859","1862",
"310M200US33980","Morehead City, NC Micro Area","45231","3526",
"310M200US34060","Morgantown, WV Metro Area","47051","3286",
"310M200US34100","Morristown, TN Metro Area","40957","4109",
"310M200US34180","Moses Lake, WA Micro Area","46728","4277",
"310M200US34340","Mount Airy, NC Micro Area","35579","1882",
"310M200US34380","Mount Pleasant, MI Micro Area","37488","3565",
"310M200US34580","Mount Vernon-Anacortes, WA Metro Area","52448","2335",
"310M200US34620","Muncie, IN Metro Area","36402","2314",
"310M200US34740","Muskegon, MI Metro Area","41630","2311",
"310M200US34780","Muskogee, OK Micro Area","39130","4315",
"310M200US34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","43540","1611",
"310M200US34860","Nacogdoches, TX Micro Area","35587","7637",
"310M200US34900","Napa, CA Metro Area","70914","4646",
"310M200US34940","Naples-Immokalee-Marco Island, FL Metro Area","54406","4231",
"310M200US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","51996","918",
"310M200US35100","New Bern, NC Metro Area","44560","2354",
"310M200US35260","New Castle, PA Micro Area","43425","4057",
"310M200US35300","New Haven-Milford, CT Metro Area","58571","2218",
