"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M700US10140","Aberdeen, WA Micro Area","77893","*****",
"310M700US10180","Abilene, TX Metro Area","181969","3181",
"310M700US10300","Adrian, MI Micro Area","97746","*****",
"310M700US10380","Aguadilla, PR Metro Area","250969","*****",
"310M700US10420","Akron, OH Metro Area","702209","*****",
"310M700US10460","Alamogordo, NM Micro Area","69711","*****",
"310M700US10500","Albany, GA Metro Area","146051","1772",
"310M700US10540","Albany, OR Metro Area","132474","*****",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","913485","*****",
"310M700US10620","Albemarle, NC Micro Area","67326","*****",
"310M700US10700","Albertville, AL Micro Area","102156","*****",
"310M700US10740","Albuquerque, NM Metro Area","929919","2952",
"310M700US10780","Alexandria, LA Metro Area","148008","*****",
"310M700US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","886418","*****",
"310M700US11020","Altoona, PA Metro Area","120269","*****",
"310M700US11100","Amarillo, TX Metro Area","278330","2107",
"310M700US11180","Ames, IA Metro Area","129227","*****",
"310M700US11200","Amherst Town-Northampton, MA Metro Area","165399","*****",
"310M700US11260","Anchorage, AK Metro Area","407213","*****",
"310M700US11360","Anderson Creek, NC Micro Area","146096","*****",
"310M700US11460","Ann Arbor, MI Metro Area","373875","*****",
"310M700US11500","Anniston-Oxford, AL Metro Area","116427","*****",
"310M700US11540","Appleton, WI Metro Area","248992","*****",
"310M700US11640","Arecibo, PR Metro Area","180071","*****",
"310M700US11700","Asheville, NC Metro Area","422333","*****",
"310M700US11940","Athens, TN Micro Area","70879","1609",
"310M700US11980","Athens, TX Micro Area","87467","*****",
"310M700US12020","Athens-Clarke County, GA Metro Area","221801","2472",
"310M700US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","6409047","2564",
"310M700US12100","Atlantic City-Hammonton, NJ Metro Area","372989","*****",
"310M700US12180","Auburn, NY Micro Area","74567","*****",
"310M700US12220","Auburn-Opelika, AL Metro Area","205355","1798",
"310M700US12260","Augusta-Richmond County, GA-SC Metro Area","636658","1694",
"310M700US12300","Augusta-Waterville, ME Micro Area","128461","*****",
"310M700US12420","Austin-Round Rock-San Marcos, TX Metro Area","2550637","*****",
"310M700US12540","Bakersfield-Delano, CA Metro Area","922529","*****",
"310M700US12580","Baltimore-Columbia-Towson, MD Metro Area","2859024","*****",
"310M700US12620","Bangor, ME Metro Area","156840","*****",
"310M700US12660","Baraboo, WI Micro Area","66486","*****",
"310M700US12700","Barnstable Town, MA Metro Area","232570","*****",
"310M700US12940","Baton Rouge, LA Metro Area","882652","*****",
"310M700US12980","Battle Creek, MI Metro Area","133785","*****",
"310M700US13020","Bay City, MI Metro Area","102651","*****",
"310M700US13140","Beaumont-Port Arthur, TX Metro Area","398733","*****",
"310M700US13180","Beaver Dam, WI Micro Area","88635","*****",
"310M700US13220","Beckley, WV Metro Area","110979","*****",
"310M700US13380","Bellingham, WA Metro Area","234954","*****",
"310M700US13460","Bend, OR Metro Area","264407","*****",
"310M700US13740","Billings, MT Metro Area","192531","*****",
"310M700US13780","Binghamton, NY Metro Area","243971","*****",
"310M700US13820","Birmingham, AL Metro Area","1192583","*****",
"310M700US13900","Bismarck, ND Metro Area","138774","397",
"310M700US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","183318","3149",
"310M700US14010","Bloomington, IL Metro Area","172069","*****",
"310M700US14020","Bloomington, IN Metro Area","162553","*****",
"310M700US14100","Bloomsburg-Berwick, PA Micro Area","66012","*****",
"310M700US14140","Bluefield, WV-VA Micro Area","96399","*****",
"310M700US14260","Boise City, ID Metro Area","844979","3311",
"310M700US14460","Boston-Cambridge-Newton, MA-NH Metro Area","5025517","*****",
"310M700US14500","Boulder, CO Metro Area","330262","*****",
"310M700US14540","Bowling Green, KY Metro Area","197734","2973",
"310M700US14580","Bozeman, MT Metro Area","126984","*****",
"310M700US14660","Brainerd, MN Micro Area","100084","*****",
"310M700US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","281420","*****",
"310M700US14860","Bridgeport-Stamford-Danbury, CT Metro Area","972679","*****",
"310M700US14940","Brigham City, UT-ID Micro Area","70168","1337",
"310M700US15180","Brownsville-Harlingen, TX Metro Area","431874","*****",
"310M700US15260","Brunswick-St. Simons, GA Metro Area","116080","4150",
"310M700US15380","Buffalo-Cheektowaga, NY Metro Area","1160172","*****",
"310M700US15500","Burlington, NC Metro Area","183040","*****",
"310M700US15540","Burlington-South Burlington, VT Metro Area","229550","792",
"310M700US15940","Canton-Massillon, OH Metro Area","400551","*****",
