"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M200US10140","Aberdeen, WA Micro Area","70818","*****",
"310M200US10180","Abilene, TX Metro Area","166900","2419",
"310M200US10300","Adrian, MI Micro Area","99047","*****",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","322079","2236",
"310M200US10420","Akron, OH Metro Area","703825","*****",
"310M200US10460","Alamogordo, NM Micro Area","65082","*****",
"310M200US10500","Albany, GA Metro Area","152596","1637",
"310M200US10540","Albany, OR Metro Area","119356","*****",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","880167","*****",
"310M200US10700","Albertville, AL Micro Area","94636","*****",
"310M200US10740","Albuquerque, NM Metro Area","905213","2468",
"310M200US10780","Alexandria, LA Metro Area","154872","*****",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","829835","*****",
"310M200US11020","Altoona, PA Metro Area","125955","*****",
"310M200US11100","Amarillo, TX Metro Area","261752","2264",
"310M200US11180","Ames, IA Metro Area","94073","*****",
"310M200US11260","Anchorage, AK Metro Area","398892","*****",
"310M200US11460","Ann Arbor, MI Metro Area","356874","*****",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","115916","*****",
"310M200US11540","Appleton, WI Metro Area","231497","*****",
"310M200US11640","Arecibo, PR Metro Area","191864","*****",
"310M200US11700","Asheville, NC Metro Area","442316","*****",
"310M200US11780","Ashtabula, OH Micro Area","99175","*****",
"310M200US11980","Athens, TX Micro Area","79290","*****",
"310M200US12020","Athens-Clarke County, GA Metro Area","197268","1997",
"310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5611829","3945",
"310M200US12100","Atlantic City-Hammonton, NJ Metro Area","275209","*****",
"310M200US12180","Auburn, NY Micro Area","78823","*****",
"310M200US12220","Auburn-Opelika, AL Metro Area","154255","*****",
"310M200US12260","Augusta-Richmond County, GA-SC Metro Area","583010","1296",
"310M200US12300","Augusta-Waterville, ME Micro Area","121112","*****",
"310M200US12420","Austin-Round Rock, TX Metro Area","1943299","*****",
